gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os02g12900,1.55,1.21E-25,10.690,29.440,"cysteine synthase, putative "
LOC_Os03g27090,1.55,8.32E-09,9.279,25.322,"MYB family transcription factor, putative "
LOC_Os06g11780,1.55,1.56E-13,3.264,9.048,"MYB family transcription factor, putative "
LOC_Os04g52240,1.55,1.73E-09,0.551,1.531,"terpene synthase, putative "
LOC_Os09g29600,1.55,1.88E-24,3.594,9.879,OsWAK85 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK 
LOC_Os06g35630,1.55,1.28E-18,5.596,15.329,"reticuline oxidase-like protein precursor, putative "
LOC_Os04g56570,1.55,1.75E-15,11.714,32.229,heavy metal-associated domain containing protein 
LOC_Os04g24340,1.55,1.26E-18,4.635,12.840,"phytase, putative "
LOC_Os12g40470,1.55,7.81E-10,2.763,7.667,"DC1 domain-containing protein, putative "
LOC_Os01g49614,1.55,2.13E-28,3.298,9.072,"Protein kinase domain containing protein, "
LOC_Os04g39864,1.55,1.62E-10,0.785,2.170,"Os4bglu11 - beta-glucosidase homologue, similar to Os4Bglu12 exoglucanase/beta-glucosidase, "
LOC_Os01g11520,1.55,2.53E-17,7.827,21.408,"RING-H2 finger protein, putative "
LOC_Os09g19800,1.55,3.22E-05,23.221,62.876,"aminopeptidase, putative "
LOC_Os10g37330,1.54,4.10E-23,4.178,11.472,"oxidoreductase, aldo/keto reductase family protein, putative "
LOC_Os06g05470,1.54,1.78E-11,3.484,9.528,expressed protein
LOC_Os02g17710,1.54,5.04E-07,0.298,0.827,"receptor-like protein kinase 5 precursor, putative "
LOC_Os01g52470,1.54,2.91E-05,0.291,0.781,"elongation factor, putative "
LOC_Os07g02570,1.54,1.96E-06,0.628,1.730,NB-ARC domain containing protein 
LOC_Os04g01890,1.54,1.40E-21,5.256,14.451,"protein kinase, putative "
LOC_Os01g48360,1.54,2.80E-06,0.928,2.540,expressed protein
LOC_Os07g37230,1.54,7.70E-08,1.806,5.006,"inositol-1-monophosphatase, putative "
LOC_Os04g58280,1.54,1.07E-31,32.957,90.039,"stem-specific protein TSJT1, putative "
LOC_Os02g52380,1.54,1.61E-06,0.482,1.317,"DUF1645 domain containing protein, putative "
LOC_Os04g45970,1.54,7.98E-17,13.753,37.262,"glutamate dehydrogenase protein, putative "
LOC_Os03g46070,1.54,3.16E-10,3.674,9.926,"thaumatin, putative "
LOC_Os11g08470,1.53,7.30E-06,0.294,0.816,"DnaK family protein, putative "
LOC_Os02g18640,1.53,2.42E-13,1.626,4.436,OsFBX45 - F-box domain containing protein 
LOC_Os03g61829,1.53,6.23E-06,0.447,1.251,"haloacid dehalogenase-like hydrolase family protein, putative "
LOC_Os10g20160,1.53,1.47E-10,1.899,5.126,"serine/threonine-protein kinase receptor precursor, putative "
LOC_Os06g49230,1.53,2.42E-07,4.437,11.926,"peptide transporter, putative "
LOC_Os04g37670,1.53,4.56E-18,6.773,18.267,"steroid nuclear receptor, ligand-binding, putative "
LOC_Os01g13040,1.53,3.07E-15,3.781,10.261,expressed protein
LOC_Os09g07800,1.52,3.34E-32,18.175,49.273,expressed protein
LOC_Os02g16630,1.52,5.71E-26,5.435,14.706,"tryptophan biosynthesis protein trpCF, putative "
LOC_Os03g53360,1.52,2.20E-09,11.134,29.753,"transferase family protein, putative "
LOC_Os03g20970,1.52,1.14E-07,1.240,3.319,"phospholipid-transporting ATPase 1, putative "
LOC_Os04g44760,1.52,9.26E-05,2.384,6.566,expressed protein
LOC_Os04g32740,1.52,1.27E-25,11.711,31.533,"hydrolase, NUDIX family, domain containing protein"
LOC_Os10g38930,1.52,7.30E-23,11.153,29.972,"shikimate/quinate 5-dehydrogenase, putative "
LOC_Os09g17190,1.52,3.53E-05,0.330,0.893,OsFBX320 - F-box domain containing protein 
LOC_Os12g31620,1.52,2.21E-05,0.144,0.397,"disease resistance protein RPM1, putative "
LOC_Os03g53270,1.52,4.18E-37,123.323,331.636,"stem-specific protein TSJT1, putative "
LOC_Os04g57970,1.52,1.90E-36,24.890,66.991,expressed protein
LOC_Os04g44150,1.52,5.42E-05,0.304,0.812,"gibberellin 2-beta-dioxygenase 7, putative "
LOC_Os05g51670,1.52,2.95E-24,34.451,92.182,"NAD dependent epimerase/dehydratase family protein, putative "
LOC_Os01g50750,1.51,5.62E-31,10.980,29.435,"zinc finger, C3HC4 type domain containing protein"
LOC_Os03g19220,1.51,1.84E-17,8.000,21.461,expressed protein
LOC_Os07g48710,1.51,5.34E-17,3.765,10.055,"VQ domain containing protein, putative "
LOC_Os05g47770,1.51,9.95E-26,9.471,25.290,"serine/threonine-protein kinase At1g18390 precursor, putative "
LOC_Os04g33640,1.51,1.56E-11,1.492,3.967,"glycosyl hydrolases family 17, putative "
LOC_Os04g10350,1.51,2.44E-34,14.131,37.900,"1-aminocyclopropane-1-carboxylate oxidase homolog 2, putative "
LOC_Os01g24020,1.51,1.32E-17,9.045,24.183,expressed protein
LOC_Os07g46280,1.51,8.02E-07,0.585,1.578,"Os7bglu26 - beta-mannosidase/glucosidase/exoglucanase, "
LOC_Os11g02379,1.50,7.73E-08,1.054,2.839,LTPL6 - Protease inhibitor/seed storage/LTP family protein precursor 
LOC_Os03g52380,1.50,3.32E-22,19.103,50.739,PIII5 - Proteinase inhibitor II family protein precursor 
LOC_Os07g46920,1.50,1.84E-10,1.541,4.110,"sex determination protein tasselseed-2, putative "
LOC_Os02g36880,1.50,7.01E-36,19.511,51.977,"No apical meristem protein, putative "
LOC_Os12g25170,1.50,3.64E-17,6.553,17.365,"NB-ARC domain containing disease resistance protein, putative "
LOC_Os02g54890,1.50,1.02E-38,14.214,37.918,"UDP-glucuronate 4-epimerase, putative "
ChrSy.fgenesh.mRNA.25,1.50,6.40E-25,10.034,26.742,expressed protein
LOC_Os04g30240,1.50,5.48E-08,0.485,1.286,OsWAK60 - OsWAK receptor-like protein kinase 
LOC_Os05g51390,1.50,1.70E-11,2.302,6.106,"uncharacterized protein PA4923, putative "
LOC_Os11g44170,1.50,7.94E-21,11.509,30.470,"calmodulin binding protein, putative "
LOC_Os05g32480,1.50,4.82E-10,0.825,2.193,"transposon protein, putative unclassified "
LOC_Os12g05690,1.50,4.64E-13,2.953,7.905,expressed protein
LOC_Os04g59190,1.50,3.02E-20,4.942,13.138,"peroxidase precursor, putative "
LOC_Os04g33390,1.50,1.44E-24,32.714,86.460,prephenate dehydratase domain containing protein 
LOC_Os01g24600,1.50,4.27E-06,0.672,1.815,"fruit bromelain precursor, putative "
LOC_Os02g40240,1.50,7.08E-11,2.306,6.191,"receptor kinase, putative "
LOC_Os12g11370,1.50,2.64E-10,0.639,1.703,"verticillium wilt disease resistance protein, putative "
LOC_Os07g19320,1.49,7.91E-08,5.135,13.429,"stripe rust resistance protein Yr10, putative "
LOC_Os01g72360,1.49,3.97E-07,1.238,3.314,expressed protein
LOC_Os03g52860,1.49,2.91E-26,33.031,87.650,"lipoxygenase, putative "
LOC_Os10g14011,1.49,9.88E-22,8.421,22.261,expressed protein
LOC_Os10g39300,1.49,6.23E-15,12.697,33.311,"aspartic proteinase nepenthesin, putative "
LOC_Os09g39770,1.49,1.80E-16,17.500,45.899,"C2 domain containing protein, putative "
LOC_Os11g03160,1.49,1.31E-24,2.566,6.797,"glycosyl transferase, family 8, putative "
LOC_Os01g50400,1.49,2.03E-07,1.242,3.236,"STE_MEKK_ste11_MAP3K.5 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast"
LOC_Os01g05660,1.49,8.87E-20,3.546,9.316,expressed protein
LOC_Os01g51870,1.49,3.93E-19,8.283,21.894,"methyltransferase, putative "
LOC_Os01g43490,1.48,4.83E-22,5.563,14.764,"polygalacturonase, putative "
LOC_Os01g44960,1.48,2.49E-23,34.674,90.924,"hydrolase, alpha/beta fold family domain containing protein"
LOC_Os01g14430,1.48,3.46E-05,0.770,2.055,"DNA binding protein, putative "
LOC_Os07g46080,1.48,4.70E-26,5.256,13.793,expressed protein
LOC_Os11g40970,1.48,7.84E-05,0.255,0.663,"receptor-like protein kinase precursor, putative "
LOC_Os11g42550,1.48,5.09E-09,5.094,13.491,"dirigent, putative "
LOC_Os01g48020,1.48,1.05E-08,0.763,2.025,"S-locus-like receptor protein kinase, putative "
LOC_Os03g05920,1.48,1.37E-21,4.899,12.856,expressed protein
LOC_Os02g45710,1.48,6.70E-29,12.474,32.757,"zinc finger, C3HC4 type domain containing protein"
LOC_Os12g44220,1.48,2.89E-24,9.392,24.599,"ATPase 2, putative "
LOC_Os01g73390,1.48,5.25E-07,0.610,1.593,expressed protein
LOC_Os02g06390,1.48,3.91E-28,13.880,36.416,expressed protein
LOC_Os12g41570,1.48,4.21E-07,1.700,4.437,expressed protein
LOC_Os01g68650,1.48,4.52E-18,9.328,24.300,plant-specific domain TIGR01615 family protein
LOC_Os04g53994,1.48,4.08E-14,2.519,6.565,"kinase, putative "
LOC_Os02g36940,1.48,2.17E-29,16.438,42.997,"uncharacterized Cys-rich domain containing protein, putative "
LOC_Os12g03040,1.48,1.53E-20,2.982,7.834,"no apical meristem protein, putative "
LOC_Os01g41900,1.48,1.04E-25,23.064,60.783,"Myb transcription factor, putative "
LOC_Os08g34790,1.48,3.70E-34,14.547,38.052,AMP-binding domain containing protein 
LOC_Os10g42620,1.48,2.21E-12,5.243,13.614,"dihydroflavonol-4-reductase, putative "
LOC_Os08g24200,1.48,2.24E-33,748.816,1957.158,expressed protein
LOC_Os06g43660,1.48,1.98E-27,226.305,590.128,"inorganic H+ pyrophosphatase, putative "
LOC_Os09g19310,1.47,3.73E-14,6.442,16.737,"retrotransposon protein, putative unclassified "
LOC_Os03g10440,1.47,2.73E-16,4.273,11.101,"glycosyl hydrolase family 10 protein, putative "
LOC_Os12g43380,1.47,3.03E-06,0.984,2.550,"thaumatin, putative "
LOC_Os05g51680,1.47,9.53E-34,28.587,74.623,SCP-like extracellular protein
LOC_Os12g41540,1.47,5.38E-06,0.619,1.600,expressed protein
LOC_Os11g15180,1.47,1.85E-06,2.187,5.818,"SAM dependent carboxyl methyltransferase, putative "
LOC_Os01g45250,1.47,6.93E-13,9.349,24.151,"DUF1645 domain containing protein, putative "
LOC_Os06g18140,1.47,9.88E-09,0.887,2.315,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein
LOC_Os04g34600,1.47,1.39E-30,29.691,77.408,"abscisic stress-ripening, putative "
LOC_Os02g38410,1.47,1.14E-18,5.475,14.254,"ubiquitin family protein, putative "
LOC_Os02g13300,1.46,1.58E-29,9.459,24.537,"mitochondrial carrier protein, putative "
LOC_Os03g55800,1.46,3.93E-30,10.235,26.533,"cytochrome P450, putative "
LOC_Os03g14730,1.46,7.33E-30,11.503,29.832,"gibberellin receptor GID1L2, putative "
LOC_Os03g53020,1.46,1.51E-17,7.060,18.486,helix-loop-helix DNA-binding domain containing protein
LOC_Os05g27780,1.46,7.33E-20,31.293,81.378,expressed protein
LOC_Os03g46420,1.46,9.44E-05,0.431,1.101,expressed protein
LOC_Os10g31740,1.46,3.26E-12,4.641,12.125,"glycine-rich cell wall structural protein 2 precursor, putative "
LOC_Os12g40180,1.46,3.47E-05,0.817,2.095,expressed protein
LOC_Os05g49770,1.46,1.63E-24,44.750,115.400,"CTP synthase, putative "
LOC_Os12g03810,1.46,1.81E-21,8.622,22.164,CAMK_KIN1/SNF1/Nim1_like.37 - CAMK includes calcium/calmodulin depedent protein kinases
LOC_Os03g51495,1.45,8.27E-11,2.884,7.515,expressed protein
LOC_Os03g08900,1.45,2.84E-08,0.777,1.990,"MATE efflux family protein, putative "
LOC_Os01g02334,1.45,4.71E-21,10.516,27.059,expressed protein
LOC_Os01g15640,1.45,2.39E-29,47.751,122.700,"no apical meristem protein, putative "
LOC_Os02g09480,1.45,1.15E-18,6.669,17.089,"myb-like DNA-binding domain containing protein, putative "
LOC_Os02g45420,1.45,5.99E-07,0.494,1.281,AP2 domain containing protein 
LOC_Os11g04660,1.45,1.47E-05,0.643,1.636,"strictosidine synthase, putative "
LOC_Os07g18230,1.45,1.09E-05,0.394,1.013,"lectin-like receptor kinase, putative "
LOC_Os01g43320,1.45,6.53E-12,3.021,7.839,"transmembrane amino acid transporter protein, putative "
LOC_Os03g50860,1.45,1.43E-33,19.022,48.911,"histidine kinase, putative "
LOC_Os05g45100,1.45,5.68E-05,0.268,0.702,"anthocyanidin 5,3-O-glucosyltransferase, putative "
LOC_Os10g05780,1.45,2.58E-06,0.537,1.361,"POT domain containing peptide transporter, putative "
LOC_Os08g34780,1.45,4.10E-28,6.540,16.870,"adenylyl cyclase-associated protein, putative "
LOC_Os04g48010,1.45,1.24E-30,7.635,19.558,"WD-40 repeat family protein, putative "
LOC_Os07g29330,1.44,1.96E-34,14.023,35.939,"serine/threonine-protein kinase CTR1, putative "
LOC_Os09g16200,1.44,7.68E-10,0.944,2.423,expressed protein
LOC_Os01g51890,1.44,1.44E-27,7.096,18.124,endonuclease/exonuclease/phosphatase family domain containing protein 
LOC_Os02g39330,1.44,2.78E-21,9.374,23.942,CHIT1 - Chitinase family protein precursor 
LOC_Os07g19000,1.44,1.87E-06,1.330,3.414,LTPL41 - Protease inhibitor/seed storage/LTP family protein precursor 
LOC_Os09g13400,1.44,9.82E-05,0.471,1.221,expressed protein
LOC_Os05g39250,1.44,2.57E-05,1.680,4.270,"phosphatidylethanolamine-binding protein, putative "
LOC_Os11g02800,1.44,3.41E-19,11.617,29.706,"DUF567 domain containing protein, putative "
LOC_Os03g51650,1.44,2.08E-28,23.371,59.419,"membrane protein, putative "
LOC_Os02g56334,1.44,1.57E-06,0.650,1.644,OsWAK18b - OsWAK short gene 
LOC_Os02g39064,1.43,2.04E-06,1.462,3.748,"osFTL5  FT-Like5 homologous to Flowering Locus T  gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, "
LOC_Os01g70850,1.43,3.63E-24,13.653,34.610,"esterase, putative "
LOC_Os12g43430,1.43,6.49E-06,1.292,3.243,"thaumatin, putative "
LOC_Os08g03610,1.43,5.99E-22,11.715,29.880,LSD1 zinc finger domain containing protein 
LOC_Os01g54670,1.43,1.37E-25,22.287,56.457,"coiled-coil domain-containing protein 25, putative "
LOC_Os07g09050,1.43,1.82E-05,0.634,1.599,"exostosin family protein, putative "
LOC_Os01g39330,1.43,5.75E-25,22.946,57.854,helix-loop-helix DNA-binding domain containing protein 
LOC_Os10g34230,1.43,2.77E-31,7.533,19.125,"cytokinin dehydrogenase precursor, putative "
LOC_Os03g48626,1.43,7.05E-23,132.504,333.611,expressed protein
LOC_Os12g44110,1.42,3.59E-08,0.876,2.221,"ligA, putative "
LOC_Os09g36590,1.42,6.08E-05,0.223,0.576,"retrotransposon protein, putative LINE subclass"
LOC_Os07g09010,1.42,2.27E-23,7.841,19.689,"nodulin, putative "
LOC_Os03g52880,1.42,2.14E-30,5.117,12.891,BTBN9 - Bric-a-Brac Tramtrack Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains 
LOC_Os12g36910,1.42,1.48E-20,16.526,41.443,"calmodulin binding protein, putative "
LOC_Os05g41780,1.42,1.66E-30,36.619,92.150,AP2 domain containing protein 
LOC_Os07g42610,1.42,2.07E-10,9.688,24.148,"RING finger protein, putative "
LOC_Os02g50730,1.42,1.83E-18,4.318,10.808,"metalloendoproteinase 1 precursor, putative "
LOC_Os05g16300,1.42,6.05E-13,1.847,4.626,expressed protein
LOC_Os02g21460,1.42,2.83E-24,61.229,153.306,"uncharacterized protein yqjG, putative "
LOC_Os04g44250,1.42,4.44E-08,2.436,6.109,"cytokinin-O-glucosyltransferase 3, putative "
LOC_Os02g12070,1.42,1.48E-09,17.954,44.763,expressed protein
LOC_Os05g09440,1.42,6.25E-20,5.219,13.056,"NADP-dependent malic enzyme, chloroplast precursor, putative "
LOC_Os01g46570,1.41,2.74E-34,21.067,52.909,"CTP synthase, putative "
LOC_Os09g39760,1.41,2.62E-15,11.416,28.412,"pectinesterase, putative "
LOC_Os04g10530,1.41,3.05E-07,1.054,2.652,"amidase, putative "
LOC_Os04g51660,1.41,6.17E-21,5.045,12.595,"transferase family protein, putative "
LOC_Os03g04070,1.41,1.23E-16,5.767,14.495,"no apical meristem protein, putative "
LOC_Os08g38910,1.41,1.39E-22,11.750,29.296,"caffeoyl-CoA O-methyltransferase, putative "
LOC_Os07g49120,1.41,1.20E-08,2.217,5.479,"sex determination protein tasselseed-2, putative "
LOC_Os06g39240,1.41,4.61E-13,4.474,11.133,"endothelial differentiation-related factor 1, putative "
LOC_Os10g33130,1.40,1.95E-05,0.176,0.436,"leucine-rich repeat receptor protein kinase EXS precursor, putative "
LOC_Os01g61160,1.40,9.78E-12,57.249,141.036,"laccase precursor protein, putative "
LOC_Os07g33560,1.40,1.77E-10,12.828,31.594,"cytochrome P450, putative "
LOC_Os09g32330,1.40,9.57E-18,27.057,66.944,expressed protein
LOC_Os02g09100,1.40,3.32E-08,0.864,2.140,"isoleucyl-tRNA synthetase, cytoplasmic, putative "
LOC_Os05g38350,1.40,5.59E-13,12.661,31.154,"glycerol-3-phosphate acyltransferase 8, putative "
LOC_Os07g38170,1.40,1.87E-32,75.253,186.672,"remorin, putative "
LOC_Os01g48650,1.40,1.47E-07,1.010,2.514,expressed protein
LOC_Os04g58840,1.40,2.33E-12,1.431,3.566,Eukaryotic aspartyl protease domain containing protein 
LOC_Os03g15320,1.40,2.29E-06,0.950,2.335,"glyoxal oxidase-related, putative "
LOC_Os02g42450,1.40,2.18E-14,9.095,22.402,RIPER1 - Ripening-related family protein precursor 
LOC_Os02g32970,1.40,7.49E-21,33.155,81.801,"hydrolase, alpha/beta fold family protein, putative "
LOC_Os05g03590,1.40,3.82E-27,16.273,40.257,expressed protein
LOC_Os11g06150,1.40,6.92E-16,13.294,32.967,"basic proline-rich protein precursor, putative "
LOC_Os04g41500,1.40,9.68E-25,31.381,77.552,expressed protein
LOC_Os02g50330,1.40,2.33E-29,7.994,19.846,"RNA-dependent RNA polymerase, putative "
LOC_Os03g22020,1.40,4.08E-16,30.289,74.489,"peroxidase precursor, putative "
LOC_Os01g03030,1.40,7.55E-23,27.689,68.332,"alanyl-tRNA synthetase, putative "
LOC_Os02g08150,1.40,3.18E-18,9.605,23.653,"CCT/B-box zinc finger protein, putative "
LOC_Os04g25380,1.39,2.37E-08,1.150,2.843,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os03g44050,1.39,1.40E-05,0.280,0.696,OsWAK27 - OsWAK receptor-like protein kinase 
LOC_Os02g41500,1.39,1.85E-05,0.382,0.935,OsWAK13 - OsWAK receptor-like protein kinase 
LOC_Os01g53350,1.39,4.54E-13,6.001,14.695,"anthocyanidin 5,3-O-glucosyltransferase, putative "
LOC_Os05g01920,1.39,8.11E-06,5.495,13.610,"inhibitor I family protein, putative "
LOC_Os01g53420,1.39,1.17E-14,4.948,12.109,"anthocyanidin 5,3-O-glucosyltransferase, putative "
LOC_Os06g46310,1.39,1.06E-30,41.270,101.872,"metal transporter Nramp6, putative "
LOC_Os06g45090,1.39,3.86E-25,6.455,15.950,expressed protein
LOC_Os11g32759,1.39,6.52E-20,3.132,7.749,expressed protein
LOC_Os04g41310,1.39,5.39E-25,9.784,24.030,"STRUBBELIG-RECEPTOR FAMILY 8 precursor, putative "
LOC_Os03g14170,1.38,4.57E-11,19.949,48.560,"3-ketoacyl-CoA synthase, putative "
LOC_Os01g72680,1.38,3.85E-05,1.498,3.628,"disease resistance protein RPS2, putative "
LOC_Os01g40070,1.38,1.84E-25,7.626,18.717,expressed protein
LOC_Os04g37430,1.38,3.54E-18,4.758,11.608,"lipoxygenase protein, putative "
LOC_Os04g31030,1.38,2.18E-14,50.831,123.751,nitrate-induced NOI protein 
LOC_Os10g37660,1.38,8.16E-17,6.365,15.581,"trehalase precursor, putative "
LOC_Os05g35410,1.38,1.53E-06,0.511,1.242,"potassium channel AKT2/3, putative "
LOC_Os03g56540,1.38,5.85E-17,8.196,20.057,"heat shock protein DnaJ, putative "
LOC_Os03g03440,1.38,1.95E-28,12.392,30.293,expressed protein
LOC_Os04g44980,1.37,6.89E-30,24.387,59.494,"short-chain dehydrogenase/reductase, putative "
LOC_Os12g17430,1.37,1.67E-11,4.237,10.307,"NBS-LRR disease resistance protein, putative "
LOC_Os11g47680,1.37,4.41E-12,13.333,32.604,"thaumatin family domain containing protein, "
LOC_Os12g38720,1.37,4.67E-19,28.083,68.628,expressed protein
LOC_Os11g03484,1.37,4.82E-20,10.004,24.243,"MATE efflux family protein, putative "
LOC_Os05g32474,1.37,8.47E-10,1.639,3.979,expressed protein
LOC_Os02g19650,1.37,6.54E-11,2.397,5.802,"hydrolase, alpha/beta fold family domain containing protein"
LOC_Os01g07870,1.37,5.95E-31,8.487,20.584,"ABC transporter family protein, putative "
LOC_Os03g31690,1.37,6.91E-23,5.502,13.335,"GCN5-related N-acetyltransferase, putative "
LOC_Os01g05670,1.37,8.29E-17,114.428,275.646,"3-oxo-5-alpha-steroid 4-dehydrogenase, putative "
LOC_Os11g10120,1.36,6.93E-21,6.569,15.886,expressed protein
LOC_Os02g02380,1.36,1.99E-05,0.646,1.558,"suppressor of phythchrome A, putative "
LOC_Os11g13710,1.36,3.41E-05,0.839,2.037,expressed protein
LOC_Os04g46120,1.36,2.22E-14,12.752,30.638,"plastocyanin-like domain containing protein, putative "
LOC_Os11g12330,1.36,3.22E-14,13.317,31.963,"disease resistance protein RPM1, putative "
LOC_Os03g18150,1.36,4.55E-29,11.295,27.348,"protein phosphatase 2C, putative "
LOC_Os01g59680,1.36,9.62E-06,0.667,1.596,"NHL25, putative "
LOC_Os08g36410,1.36,6.77E-08,1.816,4.353,"ANTH domain containing protein, "
LOC_Os12g03110,1.36,2.21E-06,2.389,5.830,"ZF-HD protein dimerisation region containing protein,"
LOC_Os04g57850,1.36,6.19E-18,7.846,18.834,"AMP-binding enzyme, putative "
LOC_Os01g43370,1.36,9.56E-31,18.461,44.494,CPuORF17 - conserved peptide uORF-containing transcript
LOC_Os06g02019,1.36,4.14E-15,2.882,6.993,"cytochrome P450, putative "
LOC_Os03g57980,1.36,1.23E-17,59.435,142.446,LTPL99 - Protease inhibitor/seed storage/LTP family protein precursor
LOC_Os06g12120,1.36,1.74E-17,2.794,6.716,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative "
LOC_Os03g12890,1.36,5.15E-15,7.033,16.832,"aminotransferase domain containing protein, putative "
LOC_Os04g49000,1.35,8.52E-13,3.273,7.932,"zinc finger, C3HC4 type domain containing protein"
LOC_Os01g61680,1.35,1.40E-24,11.370,27.416,expressed protein
LOC_Os06g45310,1.35,2.70E-22,8.920,21.395,OsSPL11 - SBP-box gene family member
LOC_Os04g23630,1.35,1.93E-12,1.680,4.068,expressed protein
LOC_Os01g05694,1.35,2.17E-18,73.574,175.696,expressed protein
LOC_Os06g02250,1.35,7.73E-06,22.496,53.287,"MYB family transcription factor, putative "
LOC_Os08g27030,1.35,1.16E-22,6.471,15.521,"lipid phosphatase protein, putative "
LOC_Os03g55180,1.35,4.82E-25,10.708,25.652,DUF1336 domain containing protein
LOC_Os11g42940,1.35,1.40E-12,16.725,39.795,"integral membrane protein, putative "
LOC_Os05g44210,1.35,6.30E-29,19.711,47.408,"trehalose-6-phosphate synthase, putative "
LOC_Os02g13370,1.35,3.59E-23,9.081,21.730,expressed protein
LOC_Os04g43680,1.35,5.93E-32,34.995,83.853,"MYB family transcription factor, putative "
LOC_Os05g03830,1.35,3.17E-21,18.279,43.562,"aminotransferase, putative "
LOC_Os12g09739,1.35,1.68E-08,5.937,14.041,"pollen signalling protein with adenylyl cyclase activity, putative "
LOC_Os06g13560,1.34,1.37E-16,21.262,50.574,"SAM dependent carboxyl methyltransferase, putative "
LOC_Os04g23760,1.34,2.48E-11,3.200,7.570,"lectin protein kinase family protein, putative "
LOC_Os01g03330,1.34,3.86E-22,19.279,45.785,BBTI3 - Bowman-Birk type bran trypsin inhibitor precursor
LOC_Os02g46170,1.34,3.90E-08,5.660,13.463,expressed protein
LOC_Os01g11160,1.34,6.84E-16,2.540,6.054,"amino acid permease family protein, putative "
LOC_Os06g43000,1.34,5.57E-08,1.668,3.967,"nitrate-induced NOI protein, "
LOC_Os03g56160,1.34,6.16E-20,6.312,14.993,"lectin-like receptor kinase 7, putative "
LOC_Os03g14990,1.34,2.60E-18,65.831,155.934,"chorismate synthase 2, chloroplast precursor, putative "
LOC_Os03g51490,1.34,3.59E-17,6.625,15.842,expressed protein
LOC_Os01g43372,1.34,1.17E-28,22.344,53.027,expressed protein
LOC_Os04g35060,1.34,8.05E-20,12.911,30.581,nicotinate phosphoribosyltransferase family domain containing protein
LOC_Os03g29250,1.33,7.18E-06,0.954,2.270,"SPX domain-containing protein, putative "
LOC_Os08g10260,1.33,1.46E-10,2.291,5.404,"NBS-LRR disease resistance protein, putative "
LOC_Os09g28500,1.33,6.28E-10,5.638,13.438,"EF hand family protein, putative "
LOC_Os01g72910,1.33,1.05E-12,10.236,24.258,"abscisic stress-ripening, putative "
LOC_Os03g60840,1.33,2.83E-12,10.117,23.983,BBTI13 - Bowman-Birk type bran trypsin inhibitor precursor
LOC_Os12g38150,1.33,1.54E-20,14.094,33.500,"osmotin, putative "
LOC_Os06g43810,1.33,1.11E-14,7.675,18.241,expressed protein
LOC_Os06g11210,1.33,9.61E-09,110.286,258.395,"12-oxophytodienoate reductase, putative "
LOC_Os12g28100,1.33,5.26E-23,14.699,34.818,"NBS-LRR disease resistance protein, putative "
LOC_Os02g08230,1.33,1.30E-07,2.727,6.388,"WAX2, putative "
LOC_Os10g33990,1.33,2.99E-18,18.199,42.903,"DUF584 domain containing protein, putative "
LOC_Os01g37750,1.33,4.67E-07,2.147,5.042,"glutathione S-transferase, putative "
LOC_Os02g51910,1.33,1.39E-24,4.611,10.904,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os02g20970,1.33,2.38E-20,15.696,36.912,"C2 domain containing protein, putative "
LOC_Os02g53280,1.32,5.81E-06,0.981,2.310,expressed protein
LOC_Os04g54310,1.32,6.39E-05,0.960,2.269,expressed protein
LOC_Os03g57990,1.32,1.27E-16,37.297,87.337,"LTPL74 - Protease inhibitor/seed storage/LTP family protein precursor, "
LOC_Os08g41270,1.32,1.60E-28,15.969,37.590,"endonuclease/exonuclease/phosphatase family domain containing protein, "
LOC_Os10g03320,1.32,3.13E-06,0.684,1.608,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein 
LOC_Os05g14360,1.32,6.02E-08,1.103,2.591,expressed protein
LOC_Os09g28730,1.32,5.23E-18,6.795,15.880,"gibberellin receptor GID1L2, putative "
LOC_Os05g39720,1.32,1.38E-14,10.715,25.001,WRKY70 
LOC_Os02g02120,1.32,3.44E-09,1.072,2.502,OsWAK11 - OsWAK receptor-like protein kinase 
LOC_Os04g45130,1.31,1.96E-24,16.264,38.089,"heavy-metal-associated domain-containing protein, putative "
LOC_Os01g41730,1.31,4.62E-18,10.314,24.038,"serine/threonine-protein kinase, putative "
LOC_Os05g05680,1.31,1.92E-12,40.314,93.587,"1-aminocyclopropane-1-carboxylate oxidase, putative "
LOC_Os12g24320,1.31,6.02E-10,27.917,64.769,"ATPase 3, putative "
LOC_Os07g38810,1.31,2.79E-14,5.389,12.507,"lectin receptor-type protein kinase, putative "
LOC_Os05g35290,1.31,6.00E-19,49.389,114.652,"phenylalanine ammonia-lyase, putative "
LOC_Os01g08380,1.31,3.50E-28,30.207,70.425,"transferase family protein, putative "
LOC_Os11g32750,1.31,6.26E-22,5.973,13.947,hydrolase NUDIX family domain containing protein 
LOC_Os05g50090,1.31,4.59E-09,2.016,4.687,"oxidoreductase, 2OG-FeII oxygenase domain containing protein, putative "
